model_id,path_index,member_count,scalar_amplitude_sum_arcsec,spin1_real_arcsec,spin1_imag_arcsec,spin1_coherence,spin2_real_arcsec,spin2_imag_arcsec,spin2_coherence,spin3_real_arcsec,spin3_imag_arcsec,spin3_coherence
0408_run909_0_2_0_0_0_1_1_0,0,178,0.00033558795702812183,-0.00010968115097297354,-0.00012171401449219791,0.4882242200331476,-3.191919013982236e-05,0.00015727548450456607,0.4782108861551766,0.00012222634956422616,-8.971399245603395e-05,0.45179675010104237
0408_run909_0_2_0_0_0_1_1_0,1,178,0.0003477808815519836,-0.00011710333243124056,-0.00013902761424507978,0.5226688188091871,-6.791801987487956e-05,0.00016573630601868596,0.5150161174336977,0.0001601811117429376,-0.00010440260107664986,0.5497748475722143
0408_run909_0_2_0_0_0_1_1_0,2,178,0.00036840359189523275,-0.00013193002883245942,-0.00015689598733844686,0.556434309504638,-6.373701532444092e-05,0.00018326951181928727,0.5266951664000953,0.000155573203648272,-0.0001166237495989555,0.5277712328136563
0408_run909_0_2_0_0_0_1_1_0,3,178,0.000317165972212336,-9.54261453130405e-05,-0.00010796272413187254,0.45430659558141345,-5.3838538518258864e-05,0.00013801181203060116,0.4670782036797829,0.00015271477077516069,-8.829454313621086e-05,0.5561825386917779
0408_run910_0_2_1_0_0_1_1_0,0,178,0.0003353680632856399,-0.00010961353395738237,-0.00012149889457113174,0.4879329354198094,-3.182469715280333e-05,0.0001572198126618974,0.4783057743569336,0.0001222832664228028,-8.974883244510271e-05,0.4522912697920346
0408_run910_0_2_1_0_0_1_1_0,1,178,0.00034759908487821186,-0.00011705680550157489,-0.0001388498064633197,0.5224647587665894,-6.787026019291592e-05,0.00016569060112928095,0.5151117120534326,0.0001602372609875589,-0.00010438566810060439,0.5501711265357442
0408_run910_0_2_1_0_0_1_1_0,2,178,0.00036816719401939075,-0.00013186497704950495,-0.00015667695692549546,0.5562225945720874,-6.367910804321744e-05,0.0001832113700567212,0.5268325387222634,0.00015564470413048187,-0.00011658903362621275,0.5282089794936837
0408_run910_0_2_1_0_0_1_1_0,3,178,0.00031701106760935016,-9.537670308804386e-05,-0.00010779889118652548,0.4540381286028963,-5.3788084356506996e-05,0.00013795470461939942,0.4670807774989728,0.00015276116782922785,-8.829559501098144e-05,0.5565826823449409
0408_run911_0_2_0_1_0_1_1_0,0,178,0.00033507248211964077,-0.0001096963633328121,-0.00012118290655931775,0.487829429558037,-3.159753036838724e-05,0.00015732436703291025,0.4788995842722742,0.0001223845453879938,-8.997872684235671e-05,0.4533400376566117
0408_run911_0_2_0_1_0_1_1_0,1,178,0.00034739430692957654,-0.00011716286277479211,-0.00013862442848146283,0.5224739013784817,-6.775932575794765e-05,0.00016585878742763415,0.5157425405604361,0.00016042334163664454,-0.00010445101819482587,0.551046945166654
0408_run911_0_2_0_1_0_1_1_0,2,178,0.0003679240588210679,-0.0001319956303851804,-0.00015641803945201077,0.5562808876152242,-6.354028366771613e-05,0.00018341778792938795,0.5275870229712983,0.00015588317486380076,-0.00011665873452345368,0.529190417633197
0408_run911_0_2_0_1_0_1_1_0,3,178,0.000316821435490681,-9.545324031538143e-05,-0.0001075795663829768,0.45395195406501443,-5.36632092788859e-05,0.00013807201231448563,0.46756240695553525,0.000152866943752145,-8.840410011509669e-05,0.5573762770903614
0408_run912_0_2_1_1_0_1_1_0,0,178,0.00033496283830331355,-0.00010965798437097426,-0.00012108870708011287,0.4877037396741892,-3.154095020422835e-05,0.000157295783733461,0.47893944298752145,0.00012241810500336023,-8.999208069244551e-05,0.45359276633754103
0408_run912_0_2_1_1_0_1_1_0,1,178,0.0003472959941551501,-0.00011712061184164009,-0.00013854161712767446,0.5223611628530653,-6.771901605731645e-05,0.0001658096625749687,0.515713700675229,0.00016043182969213539,-0.00010444019192851083,0.5512064098828919
0408_run912_0_2_1_1_0_1_1_0,2,178,0.0003678183497018071,-0.00013195028966965787,-0.0001563327851379224,0.5561841232107813,-6.350846213888675e-05,0.00018337073107515712,0.5275894441316413,0.0001559045486445565,-0.00011664968137877744,0.5293742837474148
0408_run912_0_2_1_1_0_1_1_0,3,178,0.0003167415642813192,-9.541945180768952e-05,-0.00010751112314346322,0.4538339966236305,-5.3629623070771245e-05,0.00013803324361787384,0.46752781533074983,0.00015288594928121482,-8.839996406280782e-05,0.5575622351731749
