theta_E center_x center_y e1 e2 gamma a1_a a3_a a4_a delta_phi_m1 delta_phi_m3 delta_phi_m4 gamma1 gamma2
1.38593 -0.00481 -0.00368 -0.07825 0.2406 2.08335 -0.00122 -0.00183 0.00327 -1.45118 0.31621 0.23872 0.01154 -0.02345
1.42104 0.00104 0.01144 -0.09698 0.2713 1.96393 9e-05 -0.00175 0.00174 -2.06565 -0.1242 -0.298 -0.00658 0.01609
1.39175 -0.0078 -0.00591 -0.09098 0.27125 2.24244 -0.01115 -0.00417 -0.01425 -2.86225 -0.38426 -0.35891 0.01963 -0.05164
1.38305 -0.0284 -0.00605 -0.06469 0.16231 2.05997 0.0069 0.00426 0.00542 -0.66045 -0.48972 0.07633 0.00995 -0.04505
1.43198 0.02953 0.01985 -0.13847 0.40054 2.0618 0.00309 -0.00293 -0.02243 -2.82536 0.51439 0.2464 -0.01047 0.03472
1.36908 -0.03927 -0.01446 -0.04781 0.14521 2.16637 0.00858 -0.00398 -0.0053 -1.22802 0.40099 -0.07791 0.0214 -0.06398
1.37142 -0.03747 -0.01293 -0.07507 0.17309 2.2178 -0.00846 -0.00158 -0.01036 2.50217 0.00271 0.3408 0.01581 -0.06951
1.38729 -0.01588 -0.0009 -0.04683 0.18638 2.11767 -0.00041 0.00052 -0.00627 2.1897 0.13338 -0.31501 0.02906 -0.04532
1.41473 0.00616 0.00529 -0.12224 0.3807 2.32619 0.00747 5e-05 0.00413 -2.15176 -0.13002 -0.11544 0.02589 -0.04595
1.40814 0.00456 0.01496 -0.08468 0.25898 1.93718 -0.00612 0.00268 -0.00352 -1.69343 -0.23457 -0.0664 -0.00157 0.01505
1.38042 -0.0228 -0.00236 -0.03001 0.14978 1.95286 0.00125 0.00206 -0.00306 -1.03541 -0.09282 -0.19804 0.02411 -0.02611
1.44397 0.02604 0.03008 -0.13442 0.34329 1.96326 -0.00438 0.00087 0.01014 -2.83928 -0.22053 -0.147 -0.02018 0.04038
1.3788 -0.04502 -0.02031 -0.04078 0.15724 2.12549 0.00397 -0.00231 -0.01495 -1.05343 -0.15918 -0.38193 0.01892 -0.0512
1.41351 0.00771 0.01205 -0.11039 0.31683 2.17791 -0.00474 -0.01114 0.01618 0.72094 -0.09797 0.17037 0.0136 -0.01851
1.39457 0.00062 0.00132 -0.08567 0.26507 2.1738 0.00362 0.00847 -0.00314 -2.91227 0.24401 0.05049 0.0185 -0.03783
1.39164 0.03584 0.01718 -0.1226 0.36689 2.14098 -0.00243 -0.00149 -0.00684 0.14631 0.23664 0.16882 0.00912 -0.01079
1.39564 -0.00544 -0.00476 -0.09769 0.29549 2.12433 -0.0005 -0.01339 0.00073 -0.51708 -0.35041 -0.12562 0.01831 -0.01466
1.43975 0.02834 0.02951 -0.11551 0.36157 2.00188 0.00269 0.00054 -0.00317 2.44484 0.08719 -0.29706 -0.00718 0.04281
1.37292 -0.02266 -0.00893 -0.05628 0.1864 2.18031 0.00935 -0.00877 -0.0124 -2.93007 -0.42739 0.34321 0.02441 -0.05325
1.36935 -0.05155 -0.03202 -0.01341 0.06014 2.09605 0.00291 -0.00228 0.00196 -2.83586 0.09631 0.0369 0.03238 -0.07274
1.47087 0.03771 0.04661 -0.14555 0.39451 1.96348 0.00532 0.00301 -0.00626 -0.20498 0.01343 0.24256 -0.02421 0.0622
1.40131 -0.00219 0.0058 -0.09096 0.26861 2.10746 -0.00534 0.00387 -0.00902 1.86264 0.00862 0.13791 0.00937 -0.0197
1.40903 0.00786 0.01805 -0.09449 0.30244 2.10608 -0.00133 0.002 0.00284 1.47617 -0.36932 0.09983 0.01132 -0.01063
1.40675 0.0022 0.00013 -0.10904 0.314 2.11159 -0.00025 0.00756 0.00894 1.15489 -0.36785 0.12515 0.00896 -0.00847
1.3477 -0.03294 -0.03572 -0.01578 0.10065 2.1449 0.00548 -0.00177 -0.00177 1.25185 0.04395 0.2656 0.03974 -0.06663
1.36736 -0.03213 -0.02445 -0.04084 0.11383 2.15035 0.00049 -0.00149 0.00181 1.92632 0.3143 0.07711 0.02323 -0.07194
1.37209 -0.03334 -0.0167 -0.04972 0.12866 2.13098 -0.00275 -0.00465 0.00459 -1.08008 0.21923 -0.16784 0.01909 -0.06707
1.44767 0.02699 0.02746 -0.1409 0.39704 2.11579 0.01163 0.00575 0.01271 -2.78742 -0.23779 -0.01749 0.00177 0.01876
1.41404 -0.00108 0.01275 -0.12027 0.28718 2.00537 -0.00565 0.00653 0.01363 2.63722 0.44682 -0.07158 -0.00879 0.01547
1.40681 0.0089 0.01143 -0.08975 0.28256 2.05982 0.00265 0.00247 -0.01254 0.39418 -0.3599 0.00682 0.00414 -0.00652
1.39927 -0.00225 0.00371 -0.08564 0.26136 2.10133 -0.00715 0.00149 -0.00443 -0.21526 -0.41211 -0.18409 0.01071 -0.02294
1.3696 -0.04032 -0.02355 -0.04489 0.1345 2.20146 0.00576 -0.00184 -0.00044 0.47804 0.27568 1e-05 0.02378 -0.07126
1.36939 -0.04043 -0.02009 -0.00505 0.09676 2.1358 0.00379 0.00782 0.0154 -1.26995 0.1397 0.34016 0.03955 -0.06941
1.37129 -0.03277 -0.0155 -0.02975 0.10972 1.98355 0.00253 -0.00355 -0.00982 -1.94907 -0.16368 0.18974 0.02121 -0.04819
1.44798 0.03378 0.04089 -0.13006 0.36267 2.02068 -0.00428 0.00469 -0.00172 0.09435 -0.37391 0.36549 -0.00786 0.03103
1.3801 -0.01174 -0.00292 -0.06242 0.19155 2.04018 0.00095 -0.00646 0.0001 2.07601 0.2993 0.11324 0.01068 -0.02888
1.39308 0.00589 0.0126 -0.08135 0.28865 2.21421 0.00362 -0.00458 -0.00769 -2.63527 0.2702 -0.05999 0.02493 -0.04335
1.35576 0.00158 0.01093 -0.07129 0.24726 2.23138 -3e-05 0.00948 0.00645 2.84826 0.50077 0.10224 0.01735 -0.0476
1.40697 0.01002 0.01183 -0.08798 0.27757 1.96858 3e-05 0.00538 0.00352 2.33126 0.3227 0.16999 0.00444 0.01988
1.39574 -0.01711 -0.00408 -0.07723 0.24281 2.11545 0.00051 0.00053 -0.00048 -1.62285 -0.3459 -0.04731 0.01769 -0.02694
1.3943 -0.00815 -0.00759 -0.1085 0.32007 2.30328 0.00514 -0.00471 -0.00152 -2.00944 -0.24714 -0.09749 0.02044 -0.05092
1.41949 -0.00537 0.02172 -0.09708 0.26386 1.81038 0.00832 0.0005 -0.00404 -1.14331 -0.4352 0.37482 -0.01932 0.04915
1.42212 0.01211 0.015 -0.12161 0.34832 2.12799 0.00498 0.00695 -0.00329 -1.03253 0.0263 0.18737 0.0062 -0.0073
1.38186 -0.03396 -0.01333 -0.07273 0.1526 2.05669 -0.00048 -0.00861 0.00906 -0.53451 0.07871 -0.20481 0.00579 -0.04726
1.39323 0.00231 0.01059 -0.09215 0.28456 2.17297 -0.0052 -0.00043 -0.00342 2.68077 -0.49716 -0.22768 0.01714 -0.03544
1.38518 -0.03498 -0.0115 -0.06741 0.16366 2.09721 -0.01003 -0.00146 0.00918 2.7608 0.27121 -0.09011 0.01456 -0.05114
1.38901 -0.01365 -0.00736 -0.08846 0.26494 2.28706 0.00424 0.00355 -0.00826 0.32137 0.43185 -0.3888 0.02762 -0.05958
1.37497 -0.02797 -0.02036 -0.00945 0.11867 2.10235 -0.00672 0.00075 -0.02025 -0.78394 0.20624 -0.08927 0.03701 -0.05781
1.3922 -0.01283 -0.00294 -0.08477 0.2367 2.08972 -0.00039 0.00021 -0.00727 1.56865 0.19387 0.23323 0.00673 -0.02306
1.44373 0.0196 0.01462 -0.14135 0.38261 2.06884 -0.00091 -0.00959 0.0012 0.90182 -0.1323 0.11592 -0.01331 0.02786
1.35027 -0.03698 -0.02861 -0.03052 0.10519 2.26889 0.0045 0.00122 0.01155 3.02523 0.3596 -0.27318 0.03706 -0.08603
1.41489 0.00389 0.00254 -0.13097 0.3608 2.22567 0.00447 -0.00188 -0.00349 2.11927 -0.39491 -0.08431 0.00796 -0.02381
1.36778 -0.04728 -0.03189 -0.0281 0.0803 2.08836 -0.01049 0.00451 -0.00409 3.06594 -0.27236 0.28261 0.02534 -0.07189
1.41144 0.0153 0.02716 -0.10843 0.32716 2.03959 0.00303 0.00465 -0.01991 1.29866 -0.49534 0.09027 -0.0032 0.01092
1.38882 -0.01595 -0.00983 -0.06089 0.22521 2.09813 -0.00569 -0.01165 0.01383 1.8838 -0.11539 0.29647 0.01908 -0.02521
1.44027 0.01084 0.02188 -0.13159 0.35865 2.11591 0.00396 -0.00622 -0.00913 2.03487 0.23245 0.25876 -0.01266 0.00854
1.42047 -0.00043 0.00435 -0.10349 0.28038 1.96139 -0.0004 0.00037 0.01342 2.23541 -0.18667 -0.03759 -0.00722 0.02373
1.37327 -0.04452 -0.03321 -0.02043 0.08548 2.17086 -0.00758 0.00788 0.00992 -2.80679 0.16851 -0.08404 0.03562 -0.08229
1.36828 -0.03981 -0.0366 -0.00257 0.0487 1.95991 -0.00617 0.00075 0.0137 -2.24988 0.33908 0.23627 0.03672 -0.06515
1.37793 -0.03077 -0.01099 -0.03715 0.11122 1.99557 -0.00207 -0.00426 0.00904 1.38509 0.06863 0.14238 0.01919 -0.05151
1.38197 -0.02651 -0.00657 -0.04385 0.12863 1.89677 0.00046 0.00547 0.0126 2.65559 0.09843 -0.30221 0.01219 -0.02727
1.42545 0.02026 0.02544 -0.11236 0.32932 2.0257 -0.00141 0.00243 0.00191 -2.02505 -0.31152 -0.31745 -0.00462 0.01891
1.37625 -0.03452 -0.01241 -0.04602 0.12083 2.13499 -0.00247 0.00554 0.01452 2.54419 -0.08001 -0.3017 0.02256 -0.06669
1.44854 0.0291 0.03353 -0.13678 0.37898 2.03916 0.00231 -0.00724 0.00155 2.50063 0.52115 0.15849 -0.01334 0.03767
1.37607 -0.02222 -0.00997 -0.06935 0.20415 2.23583 0.0022 -0.00026 -0.01438 1.33864 -0.49613 0.17131 0.02283 -0.06529
1.4121 0.0211 0.0232 -0.13917 0.38544 2.16713 -0.00539 0.00136 0.00324 0.47813 0.44407 -0.12935 0.00032 -0.00076
1.38922 -0.01149 -0.00232 -0.0938 0.29208 2.30988 -0.00386 -0.00252 0.00013 0.3279 0.01842 0.1635 0.02943 -0.05859
1.3825 -0.02397 -0.01181 -0.04298 0.16552 2.013 -0.00487 0.00494 0.00762 2.54174 0.4049 0.28727 0.02231 -0.02945
1.37854 -0.02893 -0.0203 -0.06876 0.16077 2.09404 0.00109 -0.00171 0.0214 1.87685 -0.27834 0.0 0.01105 -0.04726
1.44896 0.02377 0.03635 -0.13167 0.3845 2.0729 0.00053 0.00472 -0.00573 -2.00043 0.47609 -0.32073 -0.00964 0.02459
1.36987 -0.02767 -0.01604 -0.03075 0.11439 2.03078 -0.00015 -0.00353 0.00515 0.92518 0.16346 -0.37156 0.0249 -0.05797
1.38459 -0.0149 -0.00066 -0.05591 0.20114 2.10492 0.00134 0.00579 -0.00735 -2.32812 0.16504 0.22667 0.02425 -0.04113
1.38151 -0.01785 -0.01836 -0.04335 0.16769 2.08907 -0.0031 -0.00398 0.0147 -2.88064 -0.25812 0.26415 0.025 -0.04251
1.38317 -0.02228 -0.01469 -0.0754 0.22954 2.18618 -0.00151 -0.00074 -0.00215 2.17047 -0.03219 0.06242 0.01952 -0.04502
