log10_sigma_sub log_mc LOS_normalization shmf_log_slope log_m_host source_size_pc bic summary_statistic logL_image_data source_plane_sol seed
-1.304119 4.1646924 0.9539355 -1.9346961 13.6003699 2.1753604 1.0 0.047862 1.0 0.0011996 20384324.0
-0.1903227 7.0190082 1.0555853 -1.8807494 13.2819153 8.2629529 1.0 0.031688 1.0 0.0009057 20384325.0
-1.8078026 6.8142325 0.9117395 -1.9244719 13.3585241 8.8567571 1.0 0.132031 1.0 0.0007505 20384326.0
-1.8143342 7.4456471 1.0177313 -1.854904 13.274432 2.1012068 1.0 0.0752557 1.0 0.0012539 20384327.0
-1.1802228 6.8097981 1.090443 -1.8908983 13.1733244 8.5048456 1.0 0.1555903 1.0 0.0034194 20384328.0
-2.1628965 7.3675458 1.0107178 -1.9083887 13.66054 3.3833289 1.0 0.0825497 1.0 0.0006849 20384329.0
-1.6293192 9.6325327 0.9380863 -1.9050329 13.1415279 2.1438594 1.0 0.0679342 1.0 0.0022174 20384330.0
-0.8537358 8.064381 1.0067641 -1.8709154 13.4766316 7.5263695 1.0 0.074749 1.0 0.0006631 20384331.0
-1.5593128 5.6286656 0.9935824 -1.860503 13.2585994 5.3717793 1.0 0.0853468 1.0 0.0004541 20384332.0
-0.8454475 6.3041165 1.0917021 -1.9268494 13.0872723 1.3071467 1.0 0.1939943 1.0 0.0013261 20384333.0
-1.8163333 5.3478983 0.9253513 -1.8924417 13.2493214 3.4372478 1.0 0.0480239 1.0 0.0024818 20384334.0
-0.5681399 6.6110688 1.039065 -1.8506985 13.3566095 9.0878058 1.0 0.2035432 1.0 0.0028065 20384335.0
-0.0111297 4.9060757 0.9645167 -1.8806897 12.8868949 7.9550466 1.0 0.4231049 1.0 0.0039226 20384336.0
-0.5555362 9.3202681 1.0810428 -1.8531086 13.3421256 5.0017407 1.0 0.1771171 1.0 0.0017443 20384337.0
-0.3394161 9.4886559 0.902654 -1.9128279 13.6709337 9.9638403 1.0 0.2313114 1.0 0.0016814 20384339.0
-0.2228907 9.8266501 1.0507941 -1.8537481 13.721532 4.141812 1.0 0.1660719 1.0 0.0019091 20384340.0
-0.9429517 7.248964 0.9804041 -1.8924651 13.463869 3.6586204 1.0 0.3317601 1.0 0.0022655 20384341.0
0.1864268 4.7328415 1.0241542 -1.9480916 13.6057788 1.7433628 1.0 0.1790684 1.0 0.0016733 20384342.0
-2.1179568 4.9119217 1.0953773 -1.8854751 12.9279971 2.0547004 1.0 0.127688 1.0 0.0010025 20384343.0
0.0576927 8.9174176 1.0869705 -1.8675627 13.4319136 8.7357463 1.0 0.2028333 1.0 0.0007834 20384344.0
-0.1926977 6.7038457 1.0482454 -1.8800572 13.5730825 9.8118526 1.0 0.1624992 1.0 0.004 20384345.0
-1.1532809 5.4035483 0.9059285 -1.8569914 12.8121366 4.544893 1.0 0.1235198 1.0 0.0008556 20384346.0
-0.6201418 8.7353899 0.923647 -1.8883938 13.4600317 9.3182602 1.0 0.2794284 1.0 0.0004601 20384347.0
-1.6783169 9.184458 0.9813264 -1.9155193 13.092044 6.2256384 1.0 0.1118962 1.0 0.0010972 20384348.0
-0.3700398 9.2516187 1.0447926 -1.9045226 13.9200739 5.8784822 1.0 0.2090038 1.0 0.0044815 20384349.0
-2.1799404 8.1720143 0.9899194 -1.8544331 13.8139072 5.0313585 1.0 0.1894436 1.0 0.0008087 20384350.0
0.0640138 8.7799988 1.0800178 -1.8714175 13.4517743 6.7742941 1.0 0.1049644 1.0 0.0004686 20384351.0
-0.8671455 6.8585221 0.9046965 -1.8508185 13.0503264 1.0312744 1.0 0.2247351 1.0 0.0020774 20384352.0
-1.2360286 7.9909745 1.0097859 -1.906407 12.5938068 4.9490593 1.0 0.0909314 1.0 0.002561 20384353.0
-1.033646 4.837831 0.9873679 -1.9243233 12.5904428 1.1457914 1.0 0.1058823 1.0 0.0022551 20384354.0
-0.5811758 8.983696 1.0107836 -1.8712563 13.1451919 7.2703029 1.0 0.1454701 1.0 0.0021063 20384355.0
-0.033703 4.261371 0.9446302 -1.9183892 13.2604929 6.9295726 1.0 0.1496975 1.0 0.0010326 20384356.0
-1.0072896 4.6187651 0.9788339 -1.9354235 13.5702414 6.774599 1.0 0.2507977 1.0 0.0009461 20384357.0
-1.8091129 9.4108502 1.0222891 -1.8636128 13.051219 3.1631145 1.0 0.1540754 1.0 0.0011568 20384358.0
-0.3407668 5.0945245 1.0210748 -1.9197047 13.2394922 5.5268059 1.0 0.0899761 1.0 0.0013807 20384359.0
-1.7944909 7.4214819 0.9871924 -1.8738712 13.2682984 8.0789933 1.0 0.0225422 1.0 0.0014695 20384360.0
