object_id,ra_deg,dec_deg,redshift,i_mag,log10_stellar_mass,separation_arcsec,log10_flexion_zahid,log10_flexion_auger,raw_log10_stellar_mass,raw_log10_flexion_zahid,raw_log10_flexion_auger
404169401,62.147459,-53.869008,0.75141,21.712,10.05,164.3,-8.1,-7.38,$10.05\substack{+0.24\\-0.28}$,$-8.10\substack{+0.57\\-0.82}$,$-7.38\substack{+0.26\\-0.29}$
404169402,62.130404,-53.867675,0.59397,23.104,9.2,143.7,-8.88,-7.4,$9.20\substack{+0.26\\-0.33}$,$-8.88\substack{+0.68\\-1.12}$,$-7.40\substack{+0.27\\-0.32}$
404169758,62.146052,-53.874054,0.75095,22.586,9.85,150.3,-8.31,-7.4,$9.85\substack{+0.16\\-0.21}$,$-8.31\substack{+0.55\\-0.82}$,$-7.40\substack{+0.23\\-0.25}$
404169588,62.151601,-53.871104,0.56693,22.81,9.4,166.1,-8.73,-7.43,$9.40\substack{+0.18\\-0.19}$,$-8.73\substack{+0.62\\-0.95}$,$-7.43\substack{+0.23\\-0.25}$
488076552,62.105955,-53.941347,0.36171,22.388,9.03,152.8,-9.06,-7.43,$9.03\substack{+0.16\\-0.17}$,$-9.06\substack{+0.59\\-0.89}$,$-7.43\substack{+0.23\\-0.24}$
488078159,62.047075,-53.950191,0.56953,21.811,9.71,203.1,-8.49,-7.46,$9.71\substack{+0.09\\-0.12}$,$-8.49\substack{+0.54\\-0.80}$,$-7.46\substack{+0.21\\-0.22}$
489522305,62.030458,-53.871796,0.91911,22.148,10.48,162.5,-7.9,-7.46,$10.48\substack{+0.19\\-0.38}$,$-7.90\substack{+0.43\\-0.70}$,$-7.46\substack{+0.24\\-0.35}$
488073582,62.03687,-53.925643,0.91818,21.953,10.27,146.6,-8.01,-7.48,$10.27\substack{+0.18\\-0.28}$,$-8.01\substack{+0.45\\-0.66}$,$-7.48\substack{+0.23\\-0.29}$
489522522,62.023889,-53.873587,0.59935,22.742,9.35,170.0,-8.87,-7.52,$9.35\substack{+0.18\\-0.25}$,$-8.87\substack{+0.63\\-1.03}$,$-7.52\substack{+0.24\\-0.28}$
488075100,62.135113,-53.933925,0.42804,22.3,8.97,154.9,-9.22,-7.54,$8.97\substack{+0.07\\-0.07}$,$-9.22\substack{+0.54\\-0.79}$,$-7.54\substack{+0.21\\-0.21}$
404168970,62.143547,-53.858498,0.84037,22.02,10.35,186.9,-8.04,-7.55,$10.35\substack{+0.16\\-0.17}$,$-8.04\substack{+0.43\\-0.57}$,$-7.55\substack{+0.23\\-0.24}$
404169534,62.142829,-53.870321,0.80082,21.848,9.86,153.9,-8.45,-7.55,$9.86\substack{+0.19\\-0.17}$,$-8.45\substack{+0.56\\-0.78}$,$-7.55\substack{+0.24\\-0.24}$
488073010,62.046958,-53.9225,0.27124,22.409,8.37,123.0,-9.78,-7.56,$8.37\substack{+0.16\\-0.14}$,$-9.78\substack{+0.25\\-0.22}$,$-7.56\substack{+0.23\\-0.23}$
488079339,62.108903,-53.95688,0.42895,21.139,9.48,208.9,-8.8,-7.56,$9.48\substack{+0.09\\-0.08}$,$-8.80\substack{+0.58\\-0.86}$,$-7.56\substack{+0.21\\-0.21}$
488070430,62.027802,-53.906937,0.95625,22.49,10.13,135.2,-8.23,-7.57,$10.13\substack{+0.21\\-0.32}$,$-8.23\substack{+0.53\\-0.84}$,$-7.57\substack{+0.24\\-0.31}$
488071245,62.030863,-53.912062,0.77531,22.736,9.46,133.7,-8.84,-7.59,$9.46\substack{+0.25\\-0.19}$,$-8.84\substack{+0.66\\-0.94}$,$-7.59\substack{+0.26\\-0.25}$
488078889,62.046282,-53.955925,0.19565,20.697,9.31,222.4,-8.98,-7.6,$9.31\substack{+0.10\\-0.10}$,$-8.98\substack{+0.59\\-0.90}$,$-7.60\substack{+0.21\\-0.21}$
489521965,62.045558,-53.868686,0.89759,22.513,10.04,147.2,-8.33,-7.6,$10.04\substack{+0.21\\-0.24}$,$-8.33\substack{+0.55\\-0.78}$,$-7.60\substack{+0.25\\-0.27}$
488065215,62.027412,-53.885104,1.10526,22.372,10.66,143.9,-7.99,-7.63,$10.66\substack{+0.26\\-0.37}$,$-7.99\substack{+0.45\\-0.67}$,$-7.63\substack{+0.27\\-0.34}$
488075166,62.149266,-53.934182,0.5088,22.887,9.14,175.5,-9.18,-7.64,$9.14\substack{+0.19\\-0.24}$,$-9.18\substack{+0.63\\-1.00}$,$-7.64\substack{+0.24\\-0.27}$
488068535,62.14954,-53.895034,0.77707,22.702,9.28,126.6,-9.06,-7.65,$9.28\substack{+0.24\\-0.22}$,$-9.06\substack{+0.66\\-0.99}$,$-7.65\substack{+0.26\\-0.26}$
488073904,62.15151,-53.927139,0.27214,22.822,8.74,162.5,-9.55,-7.66,$8.74\substack{+0.12\\-0.16}$,$-9.55\substack{+0.43\\-0.58}$,$-7.66\substack{+0.22\\-0.23}$
488068835,62.019738,-53.894319,0.91905,22.531,10.05,151.3,-8.4,-7.68,$10.05\substack{+0.21\\-0.26}$,$-8.40\substack{+0.54\\-0.80}$,$-7.68\substack{+0.25\\-0.28}$
405340125,62.147848,-53.880963,0.82674,22.738,9.58,139.6,-8.83,-7.69,$9.58\substack{+0.23\\-0.27}$,$-8.83\substack{+0.64\\-0.99}$,$-7.69\substack{+0.26\\-0.29}$
488076126,62.098545,-53.939165,0.29568,22.286,8.45,142.4,-9.86,-7.71,$8.45\substack{+0.12\\-0.11}$,$-9.86\substack{+0.19\\-0.18}$,$-7.71\substack{+0.21\\-0.22}$
488074972,62.158897,-53.933231,0.27187,22.261,8.93,188.4,-9.43,-7.71,$8.93\substack{+0.11\\-0.13}$,$-9.43\substack{+0.54\\-0.79}$,$-7.71\substack{+0.21\\-0.22}$
488073464,62.128601,-53.924891,1.08324,22.899,10.15,121.1,-8.35,-7.72,$10.15\substack{+0.25\\-0.33}$,$-8.35\substack{+0.57\\-0.85}$,$-7.72\substack{+0.26\\-0.32}$
488072862,62.014278,-53.921997,0.44369,22.954,8.99,180.0,-9.41,-7.73,$8.99\substack{+0.17\\-0.23}$,$-9.41\substack{+0.59\\-0.92}$,$-7.73\substack{+0.23\\-0.26}$
488071425,62.019165,-53.91352,0.77498,22.912,9.57,158.9,-8.89,-7.74,$9.57\substack{+0.18\\-0.24}$,$-8.89\substack{+0.60\\-0.96}$,$-7.74\substack{+0.23\\-0.27}$
488077585,62.091222,-53.947042,0.85319,23.034,9.94,169.8,-8.57,-7.75,$9.94\substack{+0.17\\-0.20}$,$-8.57\substack{+0.54\\-0.77}$,$-7.75\substack{+0.23\\-0.25}$
404169398,62.129582,-53.86759,1.04896,22.75,10.28,142.9,-8.28,-7.75,$10.28\substack{+0.30\\-0.36}$,$-8.28\substack{+0.51\\-0.72}$,$-7.75\substack{+0.29\\-0.34}$
488076873,62.062246,-53.943414,0.51666,22.956,8.9,167.7,-9.51,-7.76,$8.90\substack{+0.28\\-0.27}$,$-9.51\substack{+0.64\\-0.89}$,$-7.76\substack{+0.28\\-0.28}$
404169833,62.165627,-53.875815,0.61452,22.767,9.16,181.6,-9.3,-7.78,$9.16\substack{+0.22\\-0.18}$,$-9.30\substack{+0.65\\-0.95}$,$-7.78\substack{+0.25\\-0.24}$
488074337,62.173464,-53.929392,0.40472,22.616,9.08,205.6,-9.4,-7.81,$9.08\substack{+0.15\\-0.17}$,$-9.40\substack{+0.60\\-0.92}$,$-7.81\substack{+0.22\\-0.24}$
488067934,62.032469,-53.898319,1.34023,21.519,10.94,123.0,-8.04,-7.81,$10.94\substack{+0.05\\-0.04}$,$-8.04\substack{+0.32\\-0.39}$,$-7.81\substack{+0.20\\-0.20}$
488077841,62.133208,-53.947857,0.35684,22.687,8.91,195.1,-9.57,-7.83,$8.91\substack{+0.17\\-0.23}$,$-9.57\substack{+0.56\\-0.85}$,$-7.83\substack{+0.23\\-0.26}$
488070960,62.031874,-53.910446,1.23026,21.226,10.58,129.8,-8.25,-7.86,$10.58\substack{+0.19\\-0.19}$,$-8.25\substack{+0.42\\-0.54}$,$-7.86\substack{+0.24\\-0.25}$
489521442,62.031862,-53.8641,0.90591,22.699,9.96,179.0,-8.74,-7.94,$9.96\substack{+0.24\\-0.26}$,$-8.74\substack{+0.58\\-0.83}$,$-7.94\substack{+0.26\\-0.28}$
488076117,62.040622,-53.93931,1.0182,22.596,10.24,176.9,-8.54,-7.99,$10.24\substack{+0.18\\-0.21}$,$-8.54\substack{+0.49\\-0.67}$,$-7.99\substack{+0.23\\-0.26}$
404169065,62.156908,-53.860476,0.75027,22.948,9.44,200.1,-9.34,-8.07,$9.44\substack{+0.23\\-0.25}$,$-9.34\substack{+0.65\\-1.01}$,$-8.07\substack{+0.25\\-0.28}$
489520262,62.067931,-53.853616,0.91854,22.457,9.71,173.3,-9.12,-8.1,$9.71\substack{+0.25\\-0.23}$,$-9.12\substack{+0.63\\-0.89}$,$-8.10\substack{+0.26\\-0.26}$
404169193,62.141088,-53.862996,1.16021,22.384,10.5,170.9,-8.52,-8.1,$10.50\substack{+0.21\\-0.30}$,$-8.52\substack{+0.44\\-0.63}$,$-8.10\substack{+0.25\\-0.30}$
404169489,62.136503,-53.870431,0.04355,21.43,7.6,144.3,-11.07,-8.16,$7.60\substack{+0.37\\-0.32}$,$-11.07\substack{+0.59\\-0.51}$,$-8.16\substack{+0.32\\-0.31}$
404169659,62.146071,-53.872477,1.14904,21.682,9.98,153.9,-9.09,-8.31,$9.98\substack{+0.17\\-0.22}$,$-9.09\substack{+0.53\\-0.78}$,$-8.31\substack{+0.23\\-0.26}$
488075055,62.169444,-53.933578,1.03614,22.691,10.13,206.8,-8.97,-8.32,$10.13\substack{+0.17\\-0.32}$,$-8.97\substack{+0.50\\-0.84}$,$-8.32\substack{+0.23\\-0.31}$
404169176,62.14504,-53.862782,1.14723,22.928,10.2,176.9,-8.92,-8.33,$10.20\substack{+0.24\\-0.30}$,$-8.92\substack{+0.55\\-0.80}$,$-8.33\substack{+0.26\\-0.30}$
404169154,62.149335,-53.86234,1.14884,22.251,9.78,184.1,-9.66,-8.69,$9.78\substack{+0.20\\-0.24}$,$-9.66\substack{+0.59\\-0.88}$,$-8.69\substack{+0.24\\-0.27}$
488073779,62.020985,-53.927277,1.38408,22.28,10.52,177.2,-9.12,-8.7,$10.52\substack{+0.18\\-0.24}$,$-9.12\substack{+0.42\\-0.58}$,$-8.70\substack{+0.23\\-0.27}$
488072310,62.161986,-53.918003,1.25287,22.603,9.08,165.2,-10.89,-9.31,$9.08\substack{+0.18\\-0.14}$,$-10.89\substack{+0.61\\-0.89}$,$-9.31\substack{+0.23\\-0.23}$
488072700,62.160696,-53.920293,1.25468,22.908,9.07,166.2,-10.93,-9.33,$9.07\substack{+0.25\\-0.24}$,$-10.93\substack{+0.66\\-0.98}$,$-9.33\substack{+0.26\\-0.27}$
488072408,62.161866,-53.918519,1.25018,22.937,8.95,165.7,-11.1,-9.4,$8.95\substack{+0.18\\-0.19}$,$-11.10\substack{+0.58\\-0.86}$,$-9.40\substack{+0.24\\-0.25}$
404169985,62.153722,-53.878539,1.41999,22.613,9.23,154.7,-11.0,-9.55,$9.23\substack{+0.26\\-0.24}$,$-11.00\substack{+0.68\\-1.02}$,$-9.55\substack{+0.27\\-0.27}$
489520462,62.073666,-53.855405,1.17034,22.11,7.69,164.0,-12.93,-10.1,$7.69\substack{+0.45\\-0.45}$,$-12.93\substack{+0.72\\-0.72}$,$-10.10\substack{+0.37\\-0.39}$
489520752,62.055153,-53.858062,1.59303,22.328,9.14,168.1,-11.75,-10.21,$9.14\substack{+0.29\\-0.23}$,$-11.75\substack{+0.70\\-0.99}$,$-10.21\substack{+0.28\\-0.27}$
3070263610,62.040098,-53.885262,1.3236,,,119.0,,,-,-,-
3070263850,62.075161,-53.892278,0.91583,,,42.4,,,-,-,-
3070265512,62.076105,-53.885866,0.9154,,,58.9,,,-,-,-
3070264072,62.073661,-53.889176,0.7679,,,52.4,,,-,-,-
MUSE1,62.093482,-53.907716,0.23983,,,28.9,,,$-$,$-$,$-$
MUSE2,62.088497,-53.889554,0.28757,,,37.4,,,$-$,$-$,$-$
MUSE4,62.079502,-53.896486,0.55446,,,26.2,,,$-$,$-$,$-$
MUSE5,62.092164,-53.90256,0.59221,,,10.3,,,$-$,$-$,$-$
MUSE7,62.086607,-53.902732,0.59822,,,13.0,,,$-$,$-$,$-$
MUSE11,62.092623,-53.909149,0.64338,,,33.7,,,$-$,$-$,$-$
MUSE13,62.088612,-53.911555,0.76379,,,42.2,,,$-$,$-$,$-$
MUSE16,62.075319,-53.889095,0.76863,,,50.4,,,$-$,$-$,$-$
MUSE17,62.095373,-53.907544,0.8298,,,29.5,,,$-$,$-$,$-$
MUSE18,62.069991,-53.898778,0.85458,,,43.5,,,$-$,$-$,$-$
MUSE23,62.082424,-53.891043,1.13208,,,36.1,,,$-$,$-$,$-$
MUSE27,62.084658,-53.911326,1.25152,,,42.9,,,$-$,$-$,$-$
